dt,Sunlight,Workday
2013-11-11 00:00:00,610.6271323,0
2013-11-12 00:00:00,608.6615688,1
2013-11-13 00:00:00,606.7259627,1
2013-11-14 00:00:00,604.8213969,1
2013-11-15 00:00:00,602.9489688,1
2013-11-16 00:00:00,601.1097892,0
2013-11-17 00:00:00,599.3049801,0
2013-11-18 00:00:00,597.5356737,1
2013-11-19 00:00:00,595.8030106,1
2013-11-20 00:00:00,594.1081378,1
2013-11-21 00:00:00,592.4522066,1
2013-11-22 00:00:00,590.8363709,1
2013-11-23 00:00:00,589.2617849,0
2013-11-24 00:00:00,587.7296007,0
2013-11-25 00:00:00,586.2409661,1
2013-11-26 00:00:00,584.7970216,1
2013-11-27 00:00:00,583.3988988,1
2013-11-28 00:00:00,582.0477168,0
2013-11-29 00:00:00,580.7445799,1
2013-11-30 00:00:00,579.490575,0
2013-12-01 00:00:00,578.2867685,0
2013-12-02 00:00:00,577.1342033,1
2013-12-03 00:00:00,576.0338966,1
2013-12-04 00:00:00,574.9868361,1
2013-12-05 00:00:00,573.993978,1
2013-12-06 00:00:00,573.0562434,1
2013-12-07 00:00:00,572.1745162,0
2013-12-08 00:00:00,571.3496396,0
2013-12-09 00:00:00,570.5824141,1
2013-12-10 00:00:00,569.8735945,1
2013-12-11 00:00:00,569.2238874,1
2013-12-12 00:00:00,568.6339492,1
2013-12-13 00:00:00,568.1043832,1
2013-12-14 00:00:00,567.6357384,0
2013-12-15 00:00:00,567.2285066,0
2013-12-16 00:00:00,566.8831216,1
2013-12-17 00:00:00,566.5999569,1
2013-12-18 00:00:00,566.3793248,1
2013-12-19 00:00:00,566.221475,1
2013-12-20 00:00:00,566.1265941,1
2013-12-21 00:00:00,566.0948042,0
2013-12-22 00:00:00,566.1261632,0
2013-12-23 00:00:00,566.2206641,1
2013-12-24 00:00:00,566.3782353,1
2013-12-25 00:00:00,566.5987405,0
2013-12-26 00:00:00,566.8819797,1
2013-12-27 00:00:00,567.2276894,1
2013-12-28 00:00:00,567.6355438,0
2013-12-29 00:00:00,568.1051562,0
2013-12-30 00:00:00,568.6360799,1
2013-12-31 00:00:00,569.2278102,1
2014-01-01 00:00:00,569.8797857,0
2014-01-02 00:00:00,570.591391,1
2014-01-03 00:00:00,571.3619578,1
2014-01-04 00:00:00,572.1907683,0
2014-01-05 00:00:00,573.0770566,0
2014-01-06 00:00:00,574.0200116,1
2014-01-07 00:00:00,575.0187799,1
2014-01-08 00:00:00,576.0724682,1
2014-01-09 00:00:00,577.1801458,1
2014-01-10 00:00:00,578.3408481,1
2014-01-11 00:00:00,579.5535788,0
2014-01-12 00:00:00,580.8173132,0
2014-01-13 00:00:00,582.131001,1
2014-01-14 00:00:00,583.493569,1
2014-01-15 00:00:00,584.9039242,1
2014-01-16 00:00:00,586.3609563,1
2014-01-17 00:00:00,587.8635409,1
2014-01-18 00:00:00,589.4105417,0
2014-01-19 00:00:00,591.0008137,0
2014-01-20 00:00:00,592.6332051,0
2014-01-21 00:00:00,594.3065604,1
2014-01-22 00:00:00,596.0197225,1
2014-01-23 00:00:00,597.7715347,1
2014-01-24 00:00:00,599.5608435,1
2014-01-25 00:00:00,601.3864998,0
2014-01-26 00:00:00,603.2473618,0
2014-01-27 00:00:00,605.1422959,1
2014-01-28 00:00:00,607.0701792,1
2014-01-29 00:00:00,609.0299005,1
2014-01-30 00:00:00,611.0203619,1
2014-01-31 00:00:00,613.0404803,1
2014-02-01 00:00:00,615.0891884,0
2014-02-02 00:00:00,617.1654362,0
2014-02-03 00:00:00,619.2681912,1
2014-02-04 00:00:00,621.3964403,1
2014-02-05 00:00:00,623.5491896,1
2014-02-06 00:00:00,625.7254657,1
2014-02-07 00:00:00,627.9243162,1
2014-02-08 00:00:00,630.1448097,0
2014-02-09 00:00:00,632.3860366,0
2014-02-10 00:00:00,634.6471094,1
2014-02-11 00:00:00,636.9271626,1
2014-02-12 00:00:00,639.2253531,1
2014-02-13 00:00:00,641.5408599,1
2014-02-14 00:00:00,643.8728844,1
2014-02-15 00:00:00,646.2206503,0
2014-02-16 00:00:00,648.5834031,0
2014-02-17 00:00:00,650.9604103,0
2014-02-18 00:00:00,653.3509607,1
2014-02-19 00:00:00,655.7543645,1
2014-02-20 00:00:00,658.1699525,1
2014-02-21 00:00:00,660.5970763,1
2014-02-22 00:00:00,663.035107,0
2014-02-23 00:00:00,665.4834356,0
2014-02-24 00:00:00,667.9414718,1
2014-02-25 00:00:00,670.4086437,1
2014-02-26 00:00:00,672.8843975,1
2014-02-27 00:00:00,675.3681964,1
2014-02-28 00:00:00,677.8595203,1
2014-03-01 00:00:00,680.3578653,0
2014-03-02 00:00:00,682.8627425,0
2014-03-03 00:00:00,685.3736779,1
2014-03-04 00:00:00,687.8902116,1
2014-03-05 00:00:00,690.4118967,1
2014-03-06 00:00:00,692.9382993,1
2014-03-07 00:00:00,695.4689971,1
2014-03-08 00:00:00,698.0035793,0
2014-03-09 00:00:00,700.5416454,0
2014-03-10 00:00:00,703.0828047,1
2014-03-11 00:00:00,705.6266757,1
2014-03-12 00:00:00,708.1728852,1
2014-03-13 00:00:00,710.7210675,1
2014-03-14 00:00:00,713.2708639,1
2014-03-15 00:00:00,715.821922,0
2014-03-16 00:00:00,718.3738946,0
2014-03-17 00:00:00,720.9264395,1
2014-03-18 00:00:00,723.4792184,1
2014-03-19 00:00:00,726.0318963,1
2014-03-20 00:00:00,728.5841408,1
2014-03-21 00:00:00,731.1356216,1
2014-03-22 00:00:00,733.6860093,0
2014-03-23 00:00:00,736.2349752,0
2014-03-24 00:00:00,738.7821903,1
2014-03-25 00:00:00,741.3273249,1
2014-03-26 00:00:00,743.8700474,1
2014-03-27 00:00:00,746.4100243,1
2014-03-28 00:00:00,748.9469189,1
2014-03-29 00:00:00,751.480391,0
2014-03-30 00:00:00,754.0100962,0
2014-03-31 00:00:00,756.5356852,1
2014-04-01 00:00:00,759.0568029,1
2014-04-02 00:00:00,761.5730884,1
2014-04-03 00:00:00,764.0841736,1
2014-04-04 00:00:00,766.5896831,1
2014-04-05 00:00:00,769.0892333,0
2014-04-06 00:00:00,771.5824322,0
2014-04-07 00:00:00,774.0688782,1
2014-04-08 00:00:00,776.5481599,1
2014-04-09 00:00:00,779.0198557,1
2014-04-10 00:00:00,781.4835328,1
2014-04-11 00:00:00,783.9387469,1
2014-04-12 00:00:00,786.3850416,0
2014-04-13 00:00:00,788.821948,0
2014-04-14 00:00:00,791.2489842,1
2014-04-15 00:00:00,793.6656547,1
2014-04-16 00:00:00,796.0714499,0
2014-04-17 00:00:00,798.4658459,1
2014-04-18 00:00:00,800.8483042,1
2014-04-19 00:00:00,803.2182708,0
2014-04-20 00:00:00,805.5751762,0
2014-04-21 00:00:00,807.9184353,1
2014-04-22 00:00:00,810.2474466,1
2014-04-23 00:00:00,812.5615925,1
2014-04-24 00:00:00,814.8602385,1
2014-04-25 00:00:00,817.1427337,1
2014-04-26 00:00:00,819.40841,0
2014-04-27 00:00:00,821.6565827,0
2014-04-28 00:00:00,823.8865497,1
2014-04-29 00:00:00,826.0975922,1
2014-04-30 00:00:00,828.2889745,1
2014-05-01 00:00:00,830.459944,1
2014-05-02 00:00:00,832.6097316,1
2014-05-03 00:00:00,834.7375519,0
2014-05-04 00:00:00,836.8426032,0
2014-05-05 00:00:00,838.9240685,1
2014-05-06 00:00:00,840.9811152,1
2014-05-07 00:00:00,843.0128963,1
2014-05-08 00:00:00,845.0185505,1
2014-05-09 00:00:00,846.997203,1
2014-05-10 00:00:00,848.9479663,0
2014-05-11 00:00:00,850.8699411,0
2014-05-12 00:00:00,852.7622169,1
2014-05-13 00:00:00,854.6238732,1
2014-05-14 00:00:00,856.4539803,1
2014-05-15 00:00:00,858.251601,1
2014-05-16 00:00:00,860.0157912,1
2014-05-17 00:00:00,861.7456012,0
2014-05-18 00:00:00,863.4400777,0
2014-05-19 00:00:00,865.0982645,1
2014-05-20 00:00:00,866.7192045,1
2014-05-21 00:00:00,868.3019413,1
2014-05-22 00:00:00,869.8455203,1
2014-05-23 00:00:00,871.3489912,1
2014-05-24 00:00:00,872.8114093,0
2014-05-25 00:00:00,874.2318375,0
2014-05-26 00:00:00,875.609348,0
2014-05-27 00:00:00,876.9430247,1
2014-05-28 00:00:00,878.2319647,1
2014-05-29 00:00:00,879.4752805,1
2014-05-30 00:00:00,880.6721022,1
2014-05-31 00:00:00,881.8215792,0
2014-06-01 00:00:00,882.9228825,0
2014-06-02 00:00:00,883.9752068,1
2014-06-03 00:00:00,884.9777723,1
2014-06-04 00:00:00,885.9298271,1
2014-06-05 00:00:00,886.8306487,1
2014-06-06 00:00:00,887.6795463,1
2014-06-07 00:00:00,888.4758628,0
2014-06-08 00:00:00,889.2189763,0
2014-06-09 00:00:00,889.9083019,1
2014-06-10 00:00:00,890.5432938,1
2014-06-11 00:00:00,891.1234464,1
2014-06-12 00:00:00,891.6482961,1
2014-06-13 00:00:00,892.1174225,1
2014-06-14 00:00:00,892.53045,0
2014-06-15 00:00:00,892.8870484,0
2014-06-16 00:00:00,893.1869345,1
2014-06-17 00:00:00,893.4298725,1
2014-06-18 00:00:00,893.615675,1
2014-06-19 00:00:00,893.7442037,1
2014-06-20 00:00:00,893.8153694,1
2014-06-21 00:00:00,893.8291326,0
2014-06-22 00:00:00,893.7855036,0
2014-06-23 00:00:00,893.6845424,1
2014-06-24 00:00:00,893.5263586,1
2014-06-25 00:00:00,893.3111108,1
2014-06-26 00:00:00,893.0390063,1
2014-06-27 00:00:00,892.7103006,1
2014-06-28 00:00:00,892.3252961,0
2014-06-29 00:00:00,891.8843419,0
2014-06-30 00:00:00,891.3878318,1
2014-07-01 00:00:00,890.836204,1
2014-07-02 00:00:00,890.2299392,1
2014-07-03 00:00:00,889.5695592,1
2014-07-04 00:00:00,888.8556256,0
2014-07-05 00:00:00,888.0887382,0
2014-07-06 00:00:00,887.2695329,0
2014-07-07 00:00:00,886.3986802,1
2014-07-08 00:00:00,885.4768832,1
2014-07-09 00:00:00,884.5048757,1
2014-07-10 00:00:00,883.4834204,1
2014-07-11 00:00:00,882.4133066,1
2014-07-12 00:00:00,881.2953483,0
2014-07-13 00:00:00,880.1303824,0
2014-07-14 00:00:00,878.9192662,1
2014-07-15 00:00:00,877.6628754,1
2014-07-16 00:00:00,876.3621026,1
2014-07-17 00:00:00,875.0178547,1
2014-07-18 00:00:00,873.631051,1
2014-07-19 00:00:00,872.2026215,0
2014-07-20 00:00:00,870.7335046,0
2014-07-21 00:00:00,869.2246457,1
2014-07-22 00:00:00,867.6769949,1
2014-07-23 00:00:00,866.0915056,1
2014-07-24 00:00:00,864.4691325,1
2014-07-25 00:00:00,862.8108303,1
2014-07-26 00:00:00,861.1175518,0
2014-07-27 00:00:00,859.3902467,0
2014-07-28 00:00:00,857.6298601,1
2014-07-29 00:00:00,855.8373309,1
2014-07-30 00:00:00,854.013591,1
2014-07-31 00:00:00,852.1595638,1
2014-08-01 00:00:00,850.2761633,1
2014-08-02 00:00:00,848.3642927,0
2014-08-03 00:00:00,846.4248441,0
2014-08-04 00:00:00,844.458697,1
2014-08-05 00:00:00,842.4667179,1
2014-08-06 00:00:00,840.4497595,1
2014-08-07 00:00:00,838.4086601,1
2014-08-08 00:00:00,836.3442429,1
2014-08-09 00:00:00,834.2573156,0
2014-08-10 00:00:00,832.1486702,0
2014-08-11 00:00:00,830.0190821,1
2014-08-12 00:00:00,827.8693105,1
2014-08-13 00:00:00,825.7000975,1
2014-08-14 00:00:00,823.5121684,1
2014-08-15 00:00:00,821.3062315,1
2014-08-16 00:00:00,819.0829778,0
2014-08-17 00:00:00,816.8430814,0
2014-08-18 00:00:00,814.587199,1
2014-08-19 00:00:00,812.3159705,1
2014-08-20 00:00:00,810.0300188,1
2014-08-21 00:00:00,807.7299503,1
2014-08-22 00:00:00,805.4163546,1
2014-08-23 00:00:00,803.0898051,0
2014-08-24 00:00:00,800.7508593,0
2014-08-25 00:00:00,798.4000589,1
2014-08-26 00:00:00,796.0379304,1
2014-08-27 00:00:00,793.6649851,1
2014-08-28 00:00:00,791.2817198,1
2014-08-29 00:00:00,788.8886171,1
2014-08-30 00:00:00,786.4861459,0
2014-08-31 00:00:00,784.0747617,0
2014-09-01 00:00:00,781.654907,0
